Degree,Lambda,CV Train RMSE,CV Test RMSE
0,0,389444.22791962675,380190.2666290328
1,0,366889.4856526268,353087.41043073125
2,0,359386.95457311935,359112.0082862752
3,0,340473.630338462,341568.98955018836
4,0,330135.00393043866,340745.1052014392
5,0,295942.968109131,313185.5258121797
6,0,275660.02345116355,295332.9648245508
7,0,234229.56817275393,254280.9448350031
8,0,181161.04809609076,199392.03942575306
9,0,174528.12783998396,202093.73496628075
10,0,167193.92216446824,181686.61976000023
11,0,160882.9978592612,188422.44453051398
12,0,139375.91979148574,181064.91270368826
13,0,117127.63571862329,190504.53915347994
14,0,95343.73750933772,163020.80315419412
15,0,64793.24779449141,99142.80215857226
16,0,63546.67435540733,105513.3071898214
17,0,55310.20130691268,81198.0582669791
18,0,55178.23639336967,89158.3309108293
19,0,51516.35261300509,103027.18097311044
20,0,48782.87317317107,119693.84782225914
21,0,45687.63995720362,150903.03115270808
22,0,41821.953555411754,109466.23556298565
23,0,38440.21754999206,258721.3749922131
24,0,37730.664324690275,360313.84300285607
25,0,38070.94630026173,133550.34423650397
26,0,34762.144649340284,283869.55440397933
27,0,38158.47298349677,441958.51012342615
28,0,38930.970977260884,618071.7309078668
28,0.0,38930.970977260884,618071.7309078668
28,9.357622968840175e-14,40076.32057135869,376583.3808614334
28,6.914400106940203e-13,42885.09250473546,224176.31897572955
28,5.109089028063325e-12,46608.32117174275,152424.60878121093
28,3.775134544279098e-11,49795.653609638386,73601.96904664398
28,2.7894680928689246e-10,54479.15560675354,171961.4489600029
28,2.061153622438558e-09,58275.29198169808,109005.38286529978
28,1.522997974471263e-08,66029.44480040406,122907.07267287497
28,1.1253517471925912e-07,75290.79113908752,102178.57629002912
28,8.315287191035679e-07,96001.89648287876,191557.40146480527
28,6.14421235332821e-06,116732.08783868862,163488.48297714596
28,4.5399929762484854e-05,139262.0436294851,183596.6481884848
28,0.00033546262790251185,152070.08872545947,174570.93938540484
28,0.0024787521766663585,171764.52707054655,213668.90834410468
28,0.01831563888873418,207114.54545719668,221908.94736963153
28,0.1353352832366127,264513.45128907665,285813.70031345985
28,1.0,310378.44162238704,317573.3594861584
28,7.38905609893065,339217.0107362306,340763.3930055983
28,54.598150033144236,351671.5161400363,345692.08604226034
28,403.4287934927351,363723.5856039682,353095.3164098563
28,2980.9579870417283,379078.68627036246,368432.4189401068
28,22026.465794806718,387491.4336734372,377985.9553536302
